Study Identifier,Study Repository ,Harvesting Method,Time Until Quenching,Temperature from Sampling to Quenching,Metabolism Quenching Method,Cell Integrity,Extracellular Metabolites Discriminated,Metabolite Extraction,Recovery from Extraction,Normalisation by Cell Number,Sample Clean-up,Sample Storage,Sample Storage Duration,Quality Control,Detection Limit,Stability,Replicates,Additional -omics Datasets,Cell Supplier,Cell Type,Immortalized or Transformed,Growth Container,Growth Container Supplier,Growth Support,Growth Support Supplier,Growth Configuration,Subculturing and Splitting Protocols,Inoculation Size,Medium or Substrate,Medium or Substrate Supplier,Medium or Substrate Concentration,Temperature,pH,Gas Composition,Humidity,CO2,Stirrer Speed,Evaporation,pO2,Growth Rate,Treatment,Treatment Dose,Treatment Vehicle,Treatment Time,Pretreatment,Pretreatment Time,Isotopic Labelling,Harvesting Growth Phase,Harvesting Time,Number of Generations Until Harvesting,Stabilization Time,Number of Culture Passages,Marker of Differentiated Stage,Harvesting Cell Density,Harvesting Depletion of Nutrients,Sample Storage Temperature,Harvesting Volume
MTBLS61,MetaboLights,,,,1,,,1,,,,1,,,,,,,1,1,,,,1,,,,,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,
MTBLS102,MetaboLights,1,,,1,,,1,,,,1,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,1,
MTBLS104,MetaboLights,1,,,1,,,1,,,,1,,,,,1,,1,1,,1,,,,,,,1,1,1,,1,,,1,,,,,1,1,1,1,,,1,,1,,,,,,,1,
MTBLS127,MetaboLights,1,,,1,,,1,,,,1,,,,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,
MTBLS140,MetaboLights,1,,,1,,,,,,,,,,,,,,1,1,1,,,,,,1,,1,1,1,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,
MTBLS150,MetaboLights,1,,,1,,,1,,,,1,,,,,1,,1,1,,1,,,,,,,1,1,1,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,1,
MTBLS152,MetaboLights,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,1,,,,,1,,,1,,1,1,1,1,,,,,,,,,,,,,
MTBLS156,MetaboLights,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MTBLS177,MetaboLights,1,,,1,,,1,,1,,1,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,
MTBLS213,MetaboLights,1,,,1,,,1,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,
MTBLS214,MetaboLights,1,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,1,,1,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,
MTBLS226,MetaboLights,1,,,1,,,1,,,,1,,,,,1,,,1,,1,,,,,,,1,1,1,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,1
MTBLS227,MetaboLights,1,,,1,,,1,,,,1,,,,,,,1,1,,1,,,,,1,,1,1,1,1,,,,1,,,,,1,1,,1,,,,,,,,,,,,1,
MTBLS233,MetaboLights,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,1,1,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,
MTBLS247,MetaboLights,1,,,1,,,1,,,,1,,,,,1,,,1,,1,,,,,,,1,1,1,1,,,,1,,,,,1,1,1,1,,,1,,,,,,,,,1,
MTBLS277,MetaboLights,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,
MTBLS337,MetaboLights,1,,,1,1,,1,,,,1,,,,,,,1,1,,1,,,,,1,1,1,,1,1,,,,1,,,,,1,1,1,,,,,,,,,,,,,1,
MTBLS419,MetaboLights,1,,,1,,,1,,,,1,,,,,,,1,1,,1,1,,,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1
ST000016,Metabolomics Workbench,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,
ST000043,Metabolomics Workbench,1,,,1,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000058,Metabolomics Workbench,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,
ST000076,Metabolomics Workbench,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,1,,,,,,,,,,
ST000077,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,
ST000087,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
ST000089,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
ST000096,Metabolomics Workbench,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
