Study Identifier,Study Repository,Ethical Approval,Ethnicity,Disease Status,Age Range,Gender,Weight range and Height and/or BMI,Trial Type,Diet,Smoking Status,Drug Consumption,Alcohol Consumption,Metal Exposure,Malnutrition,Number of Groups,Inclusion Criteria,Exclusion Criteria,Fasting Status ,Treatment,Treatment Dose,Treatment Duration,Treatment Route,Treatment Vehicle,Urea,Creatinine,Hemoglobin,Hemocrit,Glucose,Total Cholesterol,HDL Cholesterol,LDL Cholesterol,Triglycerides,Total Protein,Albumin,Sodium,Potassium,Platelets,Bilirubin,ALT,ALP,GT,White Blood Count,Biofluid or Tissue,Volume or Quantity of Collection,Sample Storage Temperature,Sample Storage Duration,Location of Collection,Time from Collection to Freezing,Anticoagulant,Speed of Centrifugation,Temperature of Centrifugation,Time of Centrifugation,Arterial or Venous Blood ,Hemolysis,Mid Flow or Total Urine,Bacteriostatic Agent
MTBLS1,MetaboLights,1,,1,1,1,1,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,
MTBLS17,MetaboLights,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,,,
MTBLS19,MetaboLights,1,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,,,
MTBLS20,MetaboLights,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS24,MetaboLights,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
MTBLS27,MetaboLights,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS28,MetaboLights,1,1,1,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,
MTBLS46,MetaboLights,1,,,1,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS71,MetaboLights,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,
MTBLS72,MetaboLights,1,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,1,,,
MTBLS87,MetaboLights,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,1,,,
MTBLS88,MetaboLights,1,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,
MTBLS90,MetaboLights,1,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS92,MetaboLights,1,,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTBLS93,MetaboLights,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
MTBLS100,MetaboLights,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS103,MetaboLights,1,,1,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,,,
MTBLS105,MetaboLights,1,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS124,MetaboLights,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,1,,,
MTBLS146,MetaboLights,1,1,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,,1,1,,,
MTBLS161,MetaboLights,1,,1,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS162,MetaboLights,1,1,1,1,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,1,1,,,
MTBLS163,MetaboLights,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,
MTBLS164,MetaboLights,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS172,MetaboLights,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS174,MetaboLights,1,,1,1,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,1,,,
MTBLS176,MetaboLights,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,1,,,
MTBLS178,MetaboLights,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,1,1,,,,
MTBLS191,MetaboLights,1,,1,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
MTBLS198,MetaboLights,1,,,1,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,
MTBLS200,MetaboLights,1,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,
MTBLS218,MetaboLights,1,,,1,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,
MTBLS234,MetaboLights,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,
MTBLS237,MetaboLights,1,,1,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS242,MetaboLights,1,,,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
MTBLS253,MetaboLights,1,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
MTBLS264,MetaboLights,1,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,1,1,,,,,1,1,,,,,,,,,,,,,
MTBLS265,MetaboLights,1,,,1,,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,1,,,,,,1,1,1,1,1,,,
MTBLS266,MetaboLights,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS267,MetaboLights,1,,,1,,,,,,,,,,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS273,MetaboLights,1,,1,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS279,MetaboLights,1,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,1,,,
MTBLS280,MetaboLights,1,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS282,MetaboLights,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS289,MetaboLights,1,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,1,,,,
MTBLS298,MetaboLights,1,,,1,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
MTBLS307,MetaboLights,1,,1,1,1,,,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,,,
MTBLS315,MetaboLights,1,,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS354,MetaboLights,1,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS358,MetaboLights,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS364,MetaboLights,1,,,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS368,MetaboLights,1,,1,1,1,1,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,
MTBLS374,MetaboLights,1,,,1,1,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS385,MetaboLights,1,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
MTBLS404,MetaboLights,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
MTBLS414,MetaboLights,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
MTBLS424,MetaboLights,1,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
MTBLS427,MetaboLights,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000002,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000004,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000009,Metabolomics Workbench,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000010,Metabolomics Workbench,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000011,Metabolomics Workbench,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000041,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000042,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,
ST000044,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000045,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000046,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
ST000047,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000061,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000062,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000063,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000065,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000081,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000082,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000091,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000092,Metabolomics Workbench,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,
ST000093,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000104,Metabolomics Workbench,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000105,Metabolomics Workbench,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000106,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000122,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000137,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000138,Metabolomics Workbench,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
ST000149,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000150,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000158,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000161,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,
ST000163,Metabolomics Workbench,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,
ST000166,Metabolomics Workbench,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000168,Metabolomics Workbench,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000189,Metabolomics Workbench,1,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,
ST000218,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000220,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000221,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000223,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000230,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,
ST000231,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,
ST000236,Metabolomics Workbench,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000250,Metabolomics Workbench,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000255,Metabolomics Workbench,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000270,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000273,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000283,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
