Study Identifier,Study Repository ,Strain,Additional Phenotypic Model,Age at Study Start ,Age at Collection or Euthanization,Animal Supplier,Weight Range,Group or Individual Housing,Germ-free or Conventional Housing,Bedding Type ,Cage Cleaning Frequency,Cage Type,Environmental Control: Temperature,Environmental Control: Humidity,Light Cycle,Diet,ab lib or Restricted Diet,Tap or Purified Water,Use of Anesthesia,Anesthesia Time,Anesthesia Dose,Acclimation Duration to Experimental Facility,Number of Groups,Sex,Inclusion Criteria,Treatment,Treatment Dose,Treatment Duration,Treatment Route,Treatment Vehicle,Fasting Status,Fasting Duration,Euthanasia Method,Biofluid or Tissue,Tissue Processing,Body Weights or Food Consumption  ,Volume or Quantity of Sample Collection,Sample Storage Temperature,Sample Storage Duration,Collection Time,Location of Sample Collection,Anticoagulant,Collection Method,Collection Frequency,Collection Duration,Bacteriostatic Agent,Temperature of Collection Tube
MTBLS26,MetaboLights,1,,1,1,1,,1,,,,,,,1,1,1,,1,1,1,,1,1,,1,1,1,,,1,1,,1,,,,1,,1,,,,,,,
MTBLS30,MetaboLights,1,,1,1,1,,,,,,,1,,1,1,1,,,,,,1,1,,1,,,,,,,,1,,,,1,,1,,1,,,,,
MTBLS31,MetaboLights,1,,,,1,1,,1,,,,,,,,,,1,,,,1,1,,1,1,1,1,1,,,1,1,,,,,,1,,,,,,,
MTBLS32,MetaboLights,1,,,,1,1,,1,,,,,,,,,,1,,,,1,1,,1,1,1,1,1,,,1,1,,,,,,1,,,,,,,
MTBLS33,MetaboLights,1,,,,1,1,,1,,,,,,,,,,1,,,,1,1,,1,1,1,1,1,,,1,1,,,,,,1,,,,,,,
MTBLS34,MetaboLights,1,,,,1,1,,1,,,,,,,,,,1,,,,1,1,,1,1,1,1,1,,,1,1,,,,,,1,,,,,,,
MTBLS61,MetaboLights,1,,,,,,,,,,,1,,1,,1,,,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
MTBLS81,MetaboLights,1,,1,1,,1,1,,,,,,,1,1,1,,,1,,,1,1,,1,1,1,1,1,1,1,,1,,,,1,,1,,,,,,,
MTBLS96,MetaboLights,1,,1,1,1,,1,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,,1,1,,,,1,,1,,,,,,,
MTBLS125,MetaboLights,1,,,1,1,,,,,,,,,1,,1,,1,,,,1,,,1,1,1,1,,,,,1,,,,1,,1,,,,,,,
MTBLS143,MetaboLights,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,,,1,,1,,,,,,,
MTBLS166,MetaboLights,1,,1,1,1,,1,,,,,1,,1,,1,,,,,1,,1,,1,1,1,1,1,,,,1,,,,,,1,,,1,1,,,
MTBLS173,MetaboLights,1,,1,1,1,,,,,,,1,1,1,1,1,,,,,,1,1,,1,1,1,1,,1,,1,1,,,,1,,1,,,,,,,
MTBLS197,MetaboLights,1,,,1,,,,,,,1,,,1,,1,,,,,,1,1,,1,1,1,1,1,,,1,1,1,,,,,1,,,,,,,
MTBLS219,MetaboLights,1,,1,1,1,1,,,,,,,,,1,,,1,,1,,1,1,,,,,,,1,1,1,1,1,,,,,1,,,,,,,
MTBLS243,MetaboLights,1,,1,1,1,,,,,,,1,,,1,1,,,,,,1,1,,1,1,1,1,1,,,,1,,,,1,,1,,1,,,,,
MTBLS313,MetaboLights,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,1,,1,,,,,,,
MTBLS345,MetaboLights,1,,1,1,1,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,
MTBLS368,MetaboLights,1,,1,1,1,1,1,,,,,,,,1,,,1,,,1,,1,,1,1,1,1,1,,,1,1,1,,,1,,1,,,,,,,
MTBLS378,MetaboLights,1,,1,1,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,1,,1,,,,,,,
MTBLS189,MetaboLights,1,,1,1,1,1,,1,,,,1,1,1,,1,,,,,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,,1,,,,,,,
