Instrument,Frequency,Percentage,Repository
LC-MS,106,49.07407407,MetaboLights
GC-MS,58,26.85185185,MetaboLights
NMR,30,13.88888889,MetaboLights
DI-MS,7,3.240740741,MetaboLights
Imaging MS,8,3.703703704,MetaboLights
Other,7,3.240740741,MetaboLights
LC-MS,223,60.76294278,Metabolomics Workbench
GC-MS,91,24.79564033,Metabolomics Workbench
NMR,40,10.89918256,Metabolomics Workbench
DI-MS,8,2.179836512,Metabolomics Workbench
Imaging MS,1,0.272479564,Metabolomics Workbench
Other,4,1.089918256,Metabolomics Workbench
LC-MS,5,7.462686567,MetaPhenDB
GC-MS,46,68.65671642,MetaPhenDB
NMR,6,8.955223881,MetaPhenDB
DI-MS,0,0,MetaPhenDB
Imaging MS,0,0,MetaPhenDB
Other,10,14.92537313,MetaPhenDB
LC-MS,0,0,MeRy-B
GC-MS,5,14.28571429,MeRy-B
NMR,30,85.71428571,MeRy-B
DI-MS,0,0,MeRy-B
Imaging MS,0,0,MeRy-B
Other,0,0,MeRy-B
