Species,Frequency,Percentage,Database
Other Species,125,45.12635379,MetaboLights
Homo Sapiens,83,29.96389892,MetaboLights
Mus musculus,36,12.99638989,MetaboLights
Arabidopsis thaliana,20,7.220216606,MetaboLights
Rattus norvegicus,6,2.166064982,MetaboLights
Escherichia coli,3,1.083032491,MetaboLights
Oryza sativa,4,1.444043321,MetaboLights
Other Species,74,20,Metabolomics Workbench
Homo Sapiens,147,39.72972973,Metabolomics Workbench
Mus musculus,120,32.43243243,Metabolomics Workbench
Arabidopsis thaliana,3,0.810810811,Metabolomics Workbench
Rattus norvegicus,19,5.135135135,Metabolomics Workbench
Escherichia coli,6,1.621621622,Metabolomics Workbench
Oryza sativa,1,0.27027027,Metabolomics Workbench
Other Species,16,27.11864407,MetaPhen
Homo Sapiens,1,1.694915254,MetaPhen
Mus musculus,0,0,MetaPhen
Arabidopsis thaliana,37,62.71186441,MetaPhen
Rattus norvegicus,0,0,MetaPhen
Escherichia coli,0,0,MetaPhen
Oryza sativa,5,8.474576271,MetaPhen
Other Species,28,90.32258065,MERYB
Homo Sapiens,0,0,MERYB
Mus musculus,0,0,MERYB
Arabidopsis thaliana,2,6.451612903,MERYB
Rattus norvegicus,0,0,MERYB
Escherichia coli,0,0,MERYB
Oryza sativa,1,3.225806452,MERYB
Other Species,428,78.67647059,GNPS
Homo Sapiens,85,15.625,GNPS
Mus musculus,21,3.860294118,GNPS
Arabidopsis thaliana,0,0,GNPS
Rattus norvegicus,3,0.551470588,GNPS
Escherichia coli,7,1.286764706,GNPS
Oryza sativa,0,0,GNPS
